Date,Open,High,Low,Close,Volume
12/08/2022,"106.28","106.80","103.71","104.42","21,128,760"
12/07/2022,"103.78","104.85","102.37","103.65","20,061,730"
12/06/2022,"105.90","107.04","103.15","103.88","21,196,980"
12/05/2022,"110.70","111.36","105.94","106.85","19,287,750"
12/02/2022,"109.51","111.71","109.20","109.86","15,248,390"
12/01/2022,"111.64","112.07","110.18","110.80","14,398,310"
11/30/2022,"111.54","111.90","109.78","111.34","23,158,061"
11/29/2022,"110.61","111.80","109.79","110.54","14,453,170"
11/28/2022,"110.66","111.46","109.62","109.81","23,017,670"
11/25/2022,"113.88","114.61","113.06","113.21","7,136,013"
11/23/2022,"112.32","113.95","112.10","113.61","11,546,690"
11/22/2022,"112.21","114.47","111.43","114.18","17,719,090"
11/21/2022,"109.99","111.20","107.48","110.97","20,972,980"
11/18/2022,"110.90","112.48","109.61","112.08","15,415,030"
11/17/2022,"111.29","113.20","110.75","113.06","12,435,740"
11/16/2022,"113.44","114.26","111.86","112.91","13,590,970"
11/15/2022,"113.80","114.53","112.87","114.13","19,373,750"
11/14/2022,"112.63","114.64","112.49","113.37","20,858,289"
11/11/2022,"112.58","114.50","112.49","113.95","20,518,850"
11/10/2022,"110.19","110.70","107.57","110.50","20,146,730"
11/09/2022,"113.10","113.28","108.57","108.90","19,522,760"
11/08/2022,"113.48","114.66","112.60","114.00","14,661,030"
11/07/2022,"112.41","113.99","112.13","113.64","16,008,040"
11/04/2022,"113.00","113.50","110.80","112.31","17,541,461"
11/03/2022,"108.58","111.82","108.31","111.10","17,103,670"
11/02/2022,"111.58","112.10","109.31","109.61","20,661,779"
11/01/2022,"112.37","112.57","110.65","111.91","22,213,141"
10/31/2022,"109.50","112.91","109.44","110.81","26,401,840"
10/28/2022,"109.46","111.21","108.12","110.70","28,169,439"
10/27/2022,"108.41","109.58","107.42","107.55","18,214,020"
10/26/2022,"106.26","107.83","106.00","107.14","17,390,410"
10/25/2022,"106.41","107.33","105.07","105.88","15,719,810"
10/24/2022,"105.66","107.68","105.12","106.60","17,024,240"
10/21/2022,"104.45","106.40","103.91","105.86","22,814,150"
10/20/2022,"104.32","105.00","103.41","103.93","17,649,029"
10/19/2022,"101.25","103.99","101.23","103.79","20,921,699"
10/18/2022,"101.54","102.35","99.23","100.80","14,065,440"
10/17/2022,"101.07","101.97","100.50","100.62","14,283,230"
10/14/2022,"101.12","102.24","99.04","99.19","15,229,630"
10/13/2022,"97.55","102.45","97.40","101.87","22,019,141"
10/12/2022,"97.50","98.91","97.23","98.43","12,635,770"
10/11/2022,"97.22","99.76","96.75","98.00","17,804,131"
10/10/2022,"101.49","102.03","98.72","98.84","16,786,090"
